Store,ST_AS,Sales,Customers,Promo,StateHoliday,SchoolHoliday,Promo2,PromoInterval
1,2,3945.705,467.646,0.382,0.044,0.205,0,0
2,0,4122.992,486.046,0.382,0.041,0.177,1,0
3,0,5741.254,620.287,0.382,0.046,0.18,1,0
4,10,8021.77,1100.057,0.382,0.04,0.184,0,0
5,0,3867.11,444.361,0.382,0.048,0.183,0,0
6,0,4562.376,525.99,0.382,0.048,0.183,0,0
7,8,7356.902,791.475,0.382,0.04,0.169,0,0
8,0,4610.252,547.799,0.382,0.04,0.169,0,0
9,8,5426.816,479.487,0.382,0.046,0.18,0,0
10,0,4634.439,494.332,0.382,0.04,0.222,0,0
11,8,6683.955,940.544,0.382,0.04,0.169,1,0
12,8,6316.608,746.508,0.382,0.04,0.169,1,0
13,3,4124.773,313.641,0.377,0.051,0.164,1,1
14,0,4555.386,522.201,0.382,0.046,0.18,1,0
15,11,5553.62,552.131,0.382,0.04,0.169,1,0
16,8,6335.341,703.158,0.382,0.049,0.165,0,0
17,0,5259.541,657.208,0.382,0.041,0.177,1,0
18,11,5446.005,592.128,0.382,0.041,0.177,1,0
19,8,5346.252,516.58,0.382,0.046,0.18,1,2
20,3,6334.489,692.953,0.377,0.051,0.164,1,0
21,10,4522.041,425.916,0.382,0.049,0.165,1,0
22,0,3695.918,411.78,0.377,0.051,0.164,1,0
23,3,4565.073,398.958,0.382,0.046,0.159,0,0
24,8,7763.774,690.87,0.382,0.046,0.18,1,0
25,2,8892.311,1250.289,0.382,0.046,0.18,0,0
26,3,5538.499,461.623,0.382,0.041,0.177,0,0
27,0,7838.438,888.787,0.382,0.046,0.18,1,0
28,0,4332.219,475.792,0.382,0.046,0.178,1,2
29,11,6090.403,540.587,0.382,0.046,0.18,0,0
30,0,4367.352,641.006,0.382,0.046,0.18,1,2
31,11,4879.133,487.754,0.382,0.04,0.169,0,0
32,0,3332.608,390.941,0.377,0.051,0.164,1,1
33,8,6976.813,691.598,0.382,0.046,0.18,0,0
34,2,6684.379,826.828,0.382,0.04,0.184,0,0
35,11,8024.09,603.398,0.382,0.046,0.18,1,0
36,8,7683.619,894.694,0.377,0.051,0.164,1,0
37,2,5890.714,646.763,0.382,0.046,0.178,0,0
38,3,4965.623,442.711,0.382,0.046,0.18,0,0
39,0,4012.901,520.67,0.382,0.046,0.18,1,1
40,0,4038.445,546.842,0.382,0.046,0.18,1,1
41,11,4377.846,326.558,0.377,0.051,0.164,1,0
42,8,8416.951,909.701,0.382,0.046,0.18,1,0
43,3,5642.304,504.58,0.382,0.046,0.18,1,0
44,0,4559.601,532.703,0.382,0.04,0.184,0,0
45,3,4422.992,343.505,0.382,0.046,0.159,0,0
46,2,4391.985,541.995,0.377,0.051,0.164,1,0
47,8,5946.667,766.231,0.382,0.04,0.179,1,0
48,0,3274.962,357.239,0.382,0.04,0.179,0,0
49,11,6024.73,438.574,0.382,0.049,0.165,0,0
50,3,3519.617,296.714,0.382,0.046,0.159,0,0
51,8,5477.609,407.818,0.377,0.051,0.164,1,0
52,11,6078.815,413.161,0.377,0.051,0.164,1,0
53,8,4381.751,471.656,0.382,0.04,0.169,0,0
54,11,6589.616,608.732,0.382,0.046,0.178,1,1
55,0,3808.081,462.837,0.382,0.048,0.183,0,0
56,11,6070.372,420.296,0.382,0.044,0.205,1,2
57,11,8657.785,808.027,0.382,0.048,0.183,0,0
58,8,5207.687,421.756,0.377,0.051,0.164,1,0
59,8,4566.907,468.217,0.382,0.041,0.177,1,0
